Murray Collection Identifier,WTSI sequence tag,ENA accession number,Sample name,Public Name,GC content,Total sequencing yield (kbp) ,Assembly total length (bp) ,Assembly contiguous sequences (number) ,N50,WGS genus,Salmonella MLST,Escherichia coli MLST,Klebseilla MLST ,mdtM,tetC,acrA,acrB,arnA,bacA,bcr,bl1_ec,bl2be_shv2,bl2e_fpm,bl3_cpha,catA2,catA4,emrD,emrE,fosA,ksgA,macB,mdfA,mdtE,mdtF,mdtG,mdtH,mdtK,mdtL,mdtN,mdtO,mdtP,mexB,pbp2,tetJ,tolC,Number detected,Plasmid 1 ,Plasmid 2,Plasmid 3,Plasmid 4,Plasmid 5
M80,9471_7#41,ERS203152,NCTC_M80 6838785,NCTC348,51.95,468394,4603019,83,227345,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncFII_S__1__CP000858,,,,
M269,8939_4#56,ERS179729,NCTC_M269,NCTC20087,51.95,282296,4634283,42,207188,Salmonella,1370,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M55,8939_4#58,ERS179731,NCTC_M55,NCTC20033,51.95,331468,4722662,69,139845,Salmonella,145,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M123,8939_4#60,ERS179733,NCTC_M123,NCTC20052,51.95,308011,4785682,39,272986,Salmonella,377,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M555,9517_1#2,ERS203208,NCTC_M555 6670670,NCTC20233,51.95,888061,4838610,43,226681,Salmonella,90,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M278,9776_2#3,ERS203019,NCTC_M278 6836931,NCTC20093,51.95,508329,4709683,26,477433,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M383,9776_2#34,ERS203050,NCTC_M383 6836923,NCTC20119,51.95,435001,4903706,52,377310,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M243,8939_4#71,ERS179744,NCTC_M243,NCTC20080,51.95,295689,4741238,25,405197,Salmonella,92,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,ColpVC_1__JX133088,IncFII_S__1__CP000858,,,
M203,8939_4#23,ERS179696,NCTC_M203,NCTC20075,51.95,324247,4681614,27,324513,Salmonella,362,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M254,8939_4#8,ERS179681,NCTC_M254,NCTC4840,51.95,349962,4574735,42,251169,Salmonella,812,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M576,9471_7#20,ERS203131,NCTC_M576 6838818,NCTC20264,51.95,456541,4608285,54,408649,Salmonella,118,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M574,9471_7#22,ERS203133,NCTC_M574 6838842,NCTC20262,51.95,451306,4607671,51,396932,Salmonella,426,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M99,9471_7#75,ERS203186,NCTC_M99 6838813,NCTC20180,51.95,392514,4634014,32,322476,Salmonella,86,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M318,9471_7#90,ERS203201,NCTC_M318 6838803,NCTC20223,51.95,363599,4714840,43,248740,Salmonella,86,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M336,9471_7#92,ERS203203,NCTC_M336 6838827,NCTC20225,51.95,356738,4578874,24,723387,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M330,9776_2#22,ERS203038,NCTC_M330 6836969,NCTC20088,51.95,617659,4746631,16,992086,Salmonella,15,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M439,9776_2#54,ERS203070,NCTC_M439 6836973,NCTC20136,51.95,476230,4787258,24,422546,Salmonella,290,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M485,9776_2#71,ERS203087,NCTC_M485 6836987,NCTC20153,51.95,543602,4736511,21,728584,Salmonella,31,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M437,9776_2#53,ERS203069,NCTC_M437 6836961,NCTC20135,52,507478,4674023,23,501545,Salmonella,26,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M74,8939_4#51,ERS179724,NCTC_M74,NCTC20042,52.05,273113,4595085,38,326473,Salmonella,426,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M75,8939_4#59,ERS179732,NCTC_M75,NCTC20042,52.05,322552,4595415,33,337145,Salmonella,426,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M579,9471_7#18,ERS203129,NCTC_M579 6838794,NCTC20266,52.05,452809,4654018,33,396411,Salmonella,26,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
